n	best_parts	beat	ratio_float	L_c5	L_kbal	ratio_exact
15	3,3,3,3,3	1	0.2012839595717957	63977511069907/43503039787261205233506826321920000000000	7628328998218493/1044072954894268925604163831726080000000000	1535460265677768/7628328998218493
16	3,3,3,3,4	0	41.69091075863867	6360639670045255013/2149955028718278571604094162290343936000000000000	7628328998218493/107497751435913928580204708114517196800000000000	6360639670045255013/152566579964369860
17	3,3,3,4,4	1	0.3213635992785223	1100004330682452263273/10244019722635705006836323700714539172495360000000000000	2200453451294991512083/6585441250265810361537636664745060896604160000000000000	9900038976142070369457/30806348318129881169162
18	3,3,4,4,4	0	20.35624532639462	2508406335896865033959107/161372813408313544688091786898512049839618706636800000000000000	2200453451294991512083/2881657382291313298001639051759143747136048332800000000000000	2508406335896865033959107/123225393272519524676648
19	3,4,4,4,4	1	0.07215458632601879	18253737912596545805697739/113837546508253440456409965415391152342461903460211097600000000000000	745390385554039789980124061/335414199533246744201922219527491788151896679838121984000000000000000	3011866755578430057940126935/41741861591026228238886947416
20	4,4,4,4,4	1	0.08818893884291186	18253737912596545805697739/172081388803736230731527560120521881526959111746593503576064000000000000000	745390385554039789980124061/619697858489645354717703415910212728117918229801720652759040000000000000000	11043511437120910212447132095/125225584773078684716660842248
21	4,4,4,4,5	1	0.01845156893241157	1857934478780224861925530536047261/46268453417313544397838134312816777923862536337831986788251462742835200000000000000000	26371843450387020511682155949071009/12117928275963071151814749462880584694344949993241710825494430718361600000000000000000	20437279266582473481180835896519871/1107617424916254861490650549860982378
22	4,4,4,5,5	1	0.2631862781429249	214045589547872556430331300937324023/2899871616453853010050953241005046531035850555970712745394717367290176733184000000000000000000	26371843450387020511682155949071009/94032118175260993296436805774086542843112614399957352061552059755667862323200000000000000000	30608519305345775569537376034037335289/116299829616206760456518307735403149690
23	4,5,4,5,5	1	0.004048147450725209	259312656068897234441401869588196680703753/201845492642423538657966673488744664708807575707851806002494275455974210866531753000960000000000000000000	93204800293484607644262865138522250824183/293690531622573931909739868832829538597471340315657389686168919314248190414265778176000000000000000000	2852439216757869578855420565470163487741283/704628290218743633790627260447228216230823480
24	4,5,5,5,5	1	0.06027056028729941	89836876981426998730761750566013583995604129/152410213154394972597655098179238941359332787620454261628792746390917630409291480909005560217600000000000000000000	93204800293484607644262865138522250824183/9530220158764476401007774296922107925307004516911521891170301602125681555174551475791593472000000000000000000	1167879400758550983499902757358176591942853677/19377277981015449929242249662298775946347645700
