id	g6	aut	edges	L	ratio	ratio_float	beat	aut_ge_T
37	O~~~~{??G@_F?N?N_Fw@~	3251404800	56	7628328998218493/107497751435913928580204708114517196800000000000	1/1	1	0	1
131	O{eCN{??JpnFXkXkbu?|`	12288	56	252722225928544387/214995502871827857160409416229034393600000000000	252722225928544387/15256657996436986	16.5647172525	0	1
132	O{eCN|_WGpbFXbXbbu?|`	4096	56	26665505488451639/19545045715620714287309946929912217600000000000	293320560372968029/15256657996436986	19.2257413414	0	1
35	OsaCB@_EWrKrXeFwB{B{?	4096	48	159448057589961541/11612411420546257716997422172864512000000000000	51661170659147539284/266991514937647255	193.493679645	0	1
140	O~aKYPDOxQBHHIGeacocj	1152	48	133802937646303087/8709308565409693287748066629648384000000000000	57802869063202933584/266991514937647255	216.497026419	0	0
36	OsaCC??^jzN[\wZwJ{@~?	80640	56	4300748384305704847/214995502871827857160409416229034393600000000000	4300748384305704847/15256657996436986	281.893215756	0	1
61	OseCK|@GRhmUZLYmJq@|@	256	56	64201322710498861/2388838920798087301782326846989271040000000000	2889059521972448745/7628328998218493	378.72770336	0	0
60	OseCK|@GO|me\KYlLUR{O	256	56	6279678614458535483/214995502871827857160409416229034393600000000000	6279678614458535483/15256657996436986	411.602502719	0	0
135	O{eFK|OQH`dFX[XRbq_|P	128	56	534183429144572539/17916291905985654763367451352419532800000000000	3205100574867435234/7628328998218493	420.157622412	0	0
34	OsaC???]ZrK{XwFwB{B{?	12288	48	946823164292295799/26127925696229079863244199888945152000000000000	136342535658090595056/266991514937647255	510.662429441	0	1
50	OsaSS|WMBBkMFbXmKub{C	128	56	2956311296823326737/71665167623942619053469805409678131200000000000	8868933890469980211/15256657996436986	581.315638886	0	0
142	O~z\w?@?WB_M?Z?V_Fz{?	294912	48	48811192011952627/967700951712188143083118514405376000000000000	189777914542471813776/266991514937647255	710.801294891	0	1
104	OtaLKoBXQsLLYkTYiu`xo	64	56	227733795722072971/4479072976496413690841862838104883200000000000	5465611097329751304/7628328998218493	716.488643661	0	0
51	OsaSVL@GRLnE]KFlBuR{O	128	56	262211181203342549/5118940544567329932390700386405580800000000000	5506434805270193529/7628328998218493	721.840236119	0	0
127	O{eS^LOQH`dFEyFTksbKp	64	56	2030836991271858421/35832583811971309526734902704839065600000000000	6092510973815575263/7628328998218493	798.669141727	0	0
114	Otmt[{?WI`hFPMOlgLx~?	768	56	28247564724231847/479900676053187181161628161225523200000000000	6327454498227933728/7628328998218493	829.467960769	0	0
134	O{eE\l_SHPbFXRXdbm?|P	64	56	7116136273523479/118129397182322998439785393532436480000000000	6475684008906365890/7628328998218493	848.899413019	0	0
133	O{eE\k?QH`nFXYXkbl?|`	64	56	225910519032508951/2986048650997609127227908558736588800000000000	8132778685170322236/7628328998218493	1066.12846497	0	0
95	OsqmtgKWILdMSUKdjKplQ	32	56	152251879593682171/1653811560552521978156995509454110720000000000	9896372173589341115/7628328998218493	1297.31847904	0	0
139	O}akqPPWOV@iHIDHcROcj	192	48	4857532694812979123/52255851392458159726488399777890304000000000000	349742354026534496856/266991514937647255	1309.93808589	0	0
94	OsqmloKWITcmSdKUjKplQ	32	56	10004868396721966139/107497751435913928580204708114517196800000000000	10004868396721966139/7628328998218493	1311.54128238	0	0
109	OtaLyD`SYQGhKBKB`eOXb	256	48	10049518590729435053/104511702784916319452976799555780608000000000000	361782669266259661908/266991514937647255	1355.03433265	0	0
80	OsfLfKKCibdNUEMHkoZL`	32	56	7591192568999471/75173252752387362643499795884277760000000000	10855405373669243530/7628328998218493	1423.03843688	0	0
126	O{eS^LGIJ`MBPlHmbX_z`	32	56	10950620702947205617/107497751435913928580204708114517196800000000000	10950620702947205617/7628328998218493	1435.52024375	0	0
118	OtrKtKWHA`kFQxPufU`jo	32	56	540397684505726603/5118940544567329932390700386405580800000000000	11348351374620258663/7628328998218493	1487.65888011	0	0
117	OtqDm[gEJ_mDH\D]hpa\`	32	56	11503907938371776303/107497751435913928580204708114517196800000000000	11503907938371776303/7628328998218493	1508.05083801	0	0
77	OsemfLOIGd`fUYMTksbKp	32	56	337484699691722789/3071364326740397959434420231843348480000000000	11811964489210297615/7628328998218493	1548.43406622	0	0
83	OsfTVLOIGTafUXMUkuBKX	32	56	3937559091970134443/35832583811971309526734902704839065600000000000	11812677275910403329/7628328998218493	1548.52750565	0	0
100	Osv\tl?GIPgfGlG]jb`fE	64	56	4158353603335792097/35832583811971309526734902704839065600000000000	12475060810007376291/7628328998218493	1635.35956733	0	0
99	Osv\tk?QIHcLGlWNjf@fK	64	56	1190414471610371299/9772522857810357143654973464956108800000000000	13094559187714084289/7628328998218493	1716.56980064	0	0
42	OsaKYPDHOiDFEM[wMPRcg	192	48	1730694595613744671/13063962848114539931622099944472576000000000000	498440043536758465248/266991514937647255	1866.8759704	0	0
87	OsiT[|@OjHjEIiDTnDRgi	32	56	1019417453131664413/7678410816850994898586050579608371200000000000	14271844343843301782/7628328998218493	1870.90047469	0	0
123	OuiDm[OAJ`lFTTJiIuPZa	32	56	92783763893850097/689088150230217490898748128939212800000000000	14474267167440615132/7628328998218493	1897.43614504	0	0
